runtime_minutes,director_name,movie_averageRating,movie_numerOfVotes,approval_Index,age,Production budget $,Domestic gross $,Worldwide gross $,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western,\N
120.0,1e-10,7.0,77.0,2.1053424701531025,2,1000000.0,227241.0,227241.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112.0,111.0,6.7,70723.0,5.3727453718716776,1,10000000.0,12008642.0,44567606.0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
107.0,1e-10,3.5,24729.0,2.473101986185444,1,32000000.0,10977721.0,79915361.0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
118.0,1e-10,6.0,67526.0,4.777219921342509,1,30000000.0,87044645.0,106030660.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130.0,24.0,8.2,415625.0,7.67359260545974,2,14400000.0,101157447.0,159157447.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
116.0,65.0,6.8,306083.0,6.187901077237843,0,20000000.0,175084580.0,256022707.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
113.0,1e-10,6.8,24762.0,4.929846859837752,2,37000000.0,72286779.0,96068724.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110.0,126.0,6.7,393561.0,6.218882321022887,1,75000000.0,134508551.0,342416460.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
108.0,85.0,6.9,26970.0,5.04764570256742,1,10000000.0,31011616.0,93074616.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111.0,1e-10,7.0,76095.0,5.656924762445813,1,22500000.0,4200117.0,31054727.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
82.0,1e-10,3.7,327.0,1.4443595905977182,0,300000.0,373615.0,373615.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94.0,1e-10,5.5,40321.0,4.159471958991163,1,15000000.0,42734455.0,55534455.0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108.0,1e-10,6.2,86221.0,5.052342237707522,1,1750000.0,93051.0,1278471.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
107.0,1e-10,5.2,93427.0,4.246894851184483,1,85000000.0,44898413.0,345033359.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
95.0,1e-10,5.6,33046.0,4.155515101986669,0,30000000.0,20783704.0,33296659.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
96.0,1e-10,5.9,20711.0,4.182370518640839,2,4000000.0,9186156.0,9561231.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
110.0,1e-10,5.2,242264.0,4.611445318999324,2,120000000.0,115802596.0,229545589.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
95.0,22.0,5.5,20625.0,3.8881986098256616,0,35200000.0,37788228.0,38283765.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106.0,1e-10,5.8,21150.0,4.118199250147315,1,35000000.0,36805288.0,53425292.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
105.0,42.0,5.7,30558.0,4.199248412541118,1,35000000.0,13103272.0,27805632.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
92.0,1e-10,6.2,5686.0,3.812070497068776,2,4000000.0,385069.0,1158877.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
136.0,1e-10,7.1,7389.0,4.521428785632916,2,2900000.0,5000000.0,5000000.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81.0,46.0,7.1,92998.0,5.844408922759437,1,3000000.0,1266955.0,10051516.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
117.0,1e-10,5.6,30069.0,4.1166179771222415,0,42000000.0,70052444.0,131052444.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
131.0,79.0,7.7,697895.0,7.491275506755403,0,160000000.0,146408305.0,355408305.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
87.0,1e-10,4.0,32757.0,2.927974588679496,1,20000000.0,26890041.0,44513466.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
106.0,1e-10,7.3,23369.0,5.270930986918632,0,20000000.0,6485961.0,17769299.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
